0 	 best_hh	HalftimeHash16	HalftimeHash24	Halftime32	Halftime40	Halftime16v3	Halftime24v3	Halftime32v3	Halftime40v3	 clhash 	 clhash128 	 umash 	 umash128
1	0.076923077	0.0625	0.058823529	0.052631579	0.05	0.076923077	0.071428571	0.066666667	0.0625	0.083333333	0.04	0.25	0.25
2	0.15384615	0.125	0.11764706	0.10526316	0.1	0.15384615	0.14285714	0.13333333	0.125	0.16666667	0.08	0.5	0.5
3	0.23076923	0.1875	0.17647059	0.15789474	0.15	0.23076923	0.21428571	0.2	0.1875	0.25	0.12	0.75	0.75
4	0.30769231	0.25	0.23529412	0.21052632	0.2	0.30769231	0.28571429	0.26666667	0.25	0.33333333	0.16	1	0.8
5	0.38461538	0.3125	0.29411765	0.26315789	0.25	0.38461538	0.35714286	0.33333333	0.3125	0.41666667	0.2	1.25	1
6	0.46153846	0.375	0.35294118	0.31578947	0.3	0.46153846	0.42857143	0.4	0.375	0.5	0.24	1.5	1.2
7	0.53846154	0.4375	0.41176471	0.36842105	0.35	0.53846154	0.5	0.46666667	0.4375	0.58333333	0.28	1.75	1.4
8	0.61538462	0.5	0.47058824	0.42105263	0.4	0.61538462	0.57142857	0.53333333	0.5	2.6666667	1.1428571	2	1.6
9	0.69230769	0.5625	0.52941176	0.47368421	0.45	0.69230769	0.64285714	0.6	0.5625	0.75	0.36	2.25	1
10	0.76923077	0.625	0.58823529	0.52631579	0.5	0.76923077	0.71428571	0.66666667	0.625	0.76923077	0.38461538	2.5	1.1111111
11	0.84615385	0.6875	0.64705882	0.57894737	0.55	0.84615385	0.78571429	0.73333333	0.6875	0.84615385	0.42307692	2.75	1.2222222
12	0.92307692	0.75	0.70588235	0.63157895	0.6	0.92307692	0.85714286	0.8	0.75	0.92307692	0.46153846	3	1.3333333
13	1	0.8125	0.76470588	0.68421053	0.65	1	0.92857143	0.86666667	0.8125	1	0.5	3.25	1.4444444
14	1.0769231	0.875	0.82352941	0.73684211	0.7	1.0769231	1	0.93333333	0.875	1.0769231	0.53846154	3.5	1.5555556
15	1.1538462	0.9375	0.88235294	0.78947368	0.75	1.1538462	1.0714286	1	0.9375	1.1538462	0.57692308	3.75	1.6666667
16	1.2307692	1	0.94117647	0.84210526	0.76190476	1.2307692	1.1428571	1.0666667	1	5.3333333	2.2857143	4	1.7777778
17	1.3076923	1.0625	1	0.89473684	0.80952381	1.3076923	1.1333333	1.1333333	1.0625	1.4166667	0.68	2.125	1.4166667
18	1.3846154	1.125	1.0588235	0.94736842	0.85714286	1.3846154	1.2	1.2	1.125	1.5	0.72	2.25	1.5
19	1.4615385	1.1875	1.1176471	1	0.9047619	1.4615385	1.3571429	1.2666667	1.1875	1.5833333	0.76	2.375	1.5833333
20	1.5384615	1.25	1.1764706	1.0526316	0.95238095	1.5384615	1.4285714	1.3333333	1.25	1.6666667	0.8	2.5	1.6666667
21	1.6153846	1.3125	1.2352941	1.1052632	0.95454545	1.6153846	1.5	1.4	1.3125	1.75	0.84	2.625	1.75
22	1.6923077	1.375	1.2941176	1.1578947	1.047619	1.6923077	1.5714286	1.4666667	1.375	1.8333333	0.88	2.75	2
23	1.7692308	1.4375	1.3529412	1.2105263	1.0952381	1.7692308	1.5333333	1.5333333	1.4375	1.9166667	0.92	2.875	1.9166667
24	1.8461538	1.5	1.4117647	1.2631579	1.1428571	1.8461538	1.6	1.6	1.5	6	3	3	2
25	1.9230769	1.5625	1.4705882	1.3157895	1.1904762	1.9230769	1.7857143	1.6666667	1.5625	2.0833333	1	3.125	2.0833333
26	2	1.625	1.5294118	1.3684211	1.2380952	2	1.8571429	1.7333333	1.625	2	1	3.25	2.1666667
27	2.0769231	1.6875	1.5882353	1.4210526	1.2857143	2.0769231	1.9285714	1.8	1.6875	2.0769231	1.0384615	3.375	2.4545455
28	2.1538462	1.75	1.6470588	1.4736842	1.3333333	2.1538462	1.8666667	1.8666667	1.75	2.1538462	1.0769231	3.5	2.3333333
29	2.2307692	1.8125	1.7058824	1.5263158	1.3809524	2.2307692	2.0714286	1.9333333	1.8125	2.2307692	1.1153846	3.625	2.4166667
30	2.3076923	1.875	1.7647059	1.5789474	1.4285714	2.3076923	2.1428571	2	1.875	2.3076923	1.1538462	3.75	2.5
31	2.3846154	1.9375	1.8235294	1.6315789	1.4761905	2.3846154	2.0666667	2.0666667	1.9375	2.3846154	1.1923077	3.875	2.8181818
32	4	2	1.8823529	1.6842105	1.5238095	4	4	3.5555556	2.6666667	8	4	4	2.9090909
33	2.3571429	2.0625	1.9411765	1.7368421	1.5714286	2.3571429	2.2	1.9411765	1.9411765	2.75	1.32	4.125	2.75
34	2.2666667	2.125	2	1.7894737	1.6190476	2.2666667	2.125	2	1.8888889	2.8333333	1.36	4.25	2.8333333
35	2.3333333	2.1875	2.0588235	1.8421053	1.75	2.3333333	2.1875	2.0588235	1.9444444	2.9166667	1.4	4.375	2.9166667
36	2.4	2.25	2.1176471	1.8947368	1.7142857	2.4	2.25	2.1176471	2	3	1.44	4.5	3
37	2.4666667	2.3125	2.1764706	1.9473684	1.7619048	2.4666667	2.3125	2.1764706	2.0555556	3.0833333	1.48	4.625	3.0833333
38	2.5333333	2.375	2.2352941	2	1.8095238	2.5333333	2.375	2.2352941	2.1111111	3.1666667	1.52	4.75	3.1666667
39	2.6	2.4375	2.2941176	2.0526316	1.8571429	2.6	2.4375	2.2941176	2.1666667	3.25	1.56	4.875	3.25
40	2.6666667	2.5	2.3529412	2.1052632	1.9047619	2.6666667	2.5	2.3529412	2.2222222	10	4.4444444	5	3.3333333
41	2.7333333	2.5625	2.4117647	2.1578947	1.952381	2.7333333	2.5625	2.4117647	2.2777778	3.4166667	1.64	5.125	3.4166667
42	2.8	2.625	2.4705882	2.2105263	2	2.8	2.625	2.4705882	2.3333333	3.2307692	1.6153846	5.25	3.5
43	2.8666667	2.6875	2.5294118	2.2631579	2.047619	2.8666667	2.6875	2.5294118	2.3888889	3.3076923	1.6538462	5.375	3.5833333
44	2.9333333	2.75	2.5882353	2.3157895	2.0952381	2.9333333	2.75	2.5882353	2.4444444	3.3846154	1.6923077	5.5	3.6666667
45	3	2.8125	2.6470588	2.3684211	2.1428571	3	2.8125	2.6470588	2.5	3.4615385	1.7307692	5.625	3.75
46	3.0666667	2.875	2.7058824	2.4210526	2.1904762	3.0666667	2.875	2.7058824	2.5555556	3.5384615	1.7692308	5.75	3.8333333
47	3.1333333	2.9375	2.7647059	2.4736842	2.2380952	3.1333333	2.9375	2.7647059	2.6111111	3.6153846	1.8076923	5.875	3.9166667
48	3.2	3	2.8235294	2.5263158	2.2857143	3.2	3	2.8235294	2.6666667	12	5.3333333	6	4
49	3.2666667	3.0625	2.8823529	2.5789474	2.3333333	3.2666667	3.0625	2.8823529	2.7222222	4.0833333	1.96	6.125	3.7692308
50	3.3333333	3.125	2.9411765	2.6315789	2.3809524	3.3333333	3.125	2.9411765	2.7777778	4.1666667	2	6.25	3.8461538
