0 	 best_hh	Halftime16v4	Halftime24v4	Halftime32v4	Halftime40v4	HalftimeHash16v3	HalftimeHash24v3	Halftime32v3	Halftime40v3	 clhash 	 clhash128 	 UMASH 	 umash128
1	0.058823529	0.05	0.043478261	0.043478261	0.04	0.058823529	0.055555556	0.055555556	0.05	0.071428571	0.034482759	0.25	0.25
2	0.11764706	0.1	0.086956522	0.086956522	0.08	0.11764706	0.11111111	0.11111111	0.1	0.14285714	0.068965517	0.5	0.5
3	0.17647059	0.15	0.13043478	0.13043478	0.12	0.17647059	0.16666667	0.16666667	0.15	0.21428571	0.10344828	0.75	0.75
4	0.23529412	0.2	0.18181818	0.17391304	0.16	0.23529412	0.22222222	0.22222222	0.2	0.28571429	0.13793103	1.3333333	1
5	0.29411765	0.23809524	0.2173913	0.2173913	0.19230769	0.29411765	0.27777778	0.27777778	0.25	0.35714286	0.17241379	1.6666667	1.25
6	0.35294118	0.28571429	0.26086957	0.26086957	0.23076923	0.35294118	0.33333333	0.33333333	0.3	0.42857143	0.20689655	2	1.5
7	0.41176471	0.33333333	0.30434783	0.30434783	0.26923077	0.41176471	0.38888889	0.38888889	0.35	0.5	0.24137931	2.3333333	1.75
8	0.47058824	0.4	0.36363636	0.36363636	0.32	0.47058824	0.44444444	0.44444444	0.4	1.3333333	0.61538462	2.6666667	2
9	0.52941176	0.45	0.39130435	0.39130435	0.36	0.52941176	0.5	0.5	0.45	0.6	0.31034483	1.8	1
10	0.58823529	0.5	0.43478261	0.43478261	0.4	0.58823529	0.55555556	0.55555556	0.5	0.66666667	0.33333333	2	1.1111111
11	0.64705882	0.55	0.47826087	0.47826087	0.44	0.64705882	0.61111111	0.61111111	0.55	0.73333333	0.36666667	2.2	1.2222222
12	0.70588235	0.6	0.54545455	0.54545455	0.48	0.70588235	0.66666667	0.66666667	0.6	0.8	0.4	2.4	1.3333333
13	0.76470588	0.65	0.56521739	0.56521739	0.52	0.76470588	0.72222222	0.72222222	0.65	0.86666667	0.43333333	2.6	1.4444444
14	0.82352941	0.7	0.60869565	0.60869565	0.56	0.82352941	0.77777778	0.77777778	0.7	0.93333333	0.46666667	2.8	1.5555556
15	0.88235294	0.75	0.65217391	0.65217391	0.6	0.88235294	0.83333333	0.83333333	0.75	1	0.5	3	1.6666667
