0	Halftime16v4	Halftime24v4	Halftime32v4	Halftime40v4	Halftime16v3	Halftime24v3	Halftime32v3	Halftime40v3	clhash	clhash128	umash	umash128
1	0.025	0.025	0.025	0.024390244	0.038461538	0.038461538	0.038461538	0.037037037	0.071428571	0.035714286	0.25	0.2
2	0.05	0.05	0.048780488	0.047619048	0.076923077	0.076923077	0.076923077	0.074074074	0.14285714	0.068965517	0.5	0.5
3	0.075	0.075	0.073170732	0.071428571	0.11538462	0.11538462	0.11538462	0.11111111	0.21428571	0.10344828	0.75	0.75
4	0.1	0.097560976	0.097560976	0.095238095	0.15384615	0.15384615	0.15384615	0.14814815	0.28571429	0.13793103	1.3333333	1
5	0.125	0.12195122	0.12195122	0.11904762	0.19230769	0.19230769	0.19230769	0.18518519	0.35714286	0.17241379	1.6666667	1.25
6	0.15	0.15	0.14634146	0.14285714	0.23076923	0.23076923	0.23076923	0.22222222	0.42857143	0.20689655	2	1.5
7	0.175	0.175	0.17073171	0.16666667	0.26923077	0.26923077	0.26923077	0.25925926	0.5	0.24137931	2.3333333	1.75
8	0.2	0.2	0.19512195	0.19047619	0.30769231	0.30769231	0.30769231	0.2962963	1.3333333	0.61538462	2.6666667	2
9	0.2195122	0.2195122	0.2195122	0.21428571	0.34615385	0.34615385	0.34615385	0.33333333	0.6	0.31034483	1.8	1
10	0.24390244	0.24390244	0.23809524	0.23255814	0.38461538	0.38461538	0.38461538	0.37037037	0.66666667	0.34482759	2	1.1111111
11	0.26829268	0.26829268	0.26190476	0.26190476	0.42307692	0.42307692	0.42307692	0.40740741	0.73333333	0.37931034	2.2	1.2222222
12	0.29268293	0.29268293	0.28571429	0.27906977	0.46153846	0.46153846	0.46153846	0.44444444	0.8	0.4137931	2.4	1.3333333
13	0.31707317	0.325	0.30952381	0.30232558	0.5	0.5	0.5	0.48148148	0.86666667	0.44827586	2.6	1.4444444
14	0.34146341	0.34146341	0.33333333	0.3255814	0.53846154	0.53846154	0.53846154	0.51851852	0.93333333	0.48275862	2.8	1.5555556
15	0.36585366	0.36585366	0.35714286	0.34883721	0.57692308	0.57692308	0.57692308	0.55555556	1	0.51724138	3	1.6666667
16	0.3902439	0.4	0.38095238	0.37209302	0.61538462	0.61538462	0.61538462	0.59259259	3.2	1.4545455	3.2	1.7777778
17	0.41463415	0.425	0.4047619	0.39534884	0.65384615	0.65384615	0.65384615	0.62962963	1.2142857	0.5862069	2.125	1.4166667
18	0.43902439	0.45	0.42857143	0.41860465	0.69230769	0.69230769	0.69230769	0.66666667	1.2	0.64285714	2.25	1.5
19	0.475	0.46341463	0.45238095	0.44186047	0.73076923	0.73076923	0.73076923	0.7037037	1.2666667	0.67857143	2.375	1.5833333
20	0.48780488	0.5	0.48780488	0.46511628	0.76923077	0.76923077	0.76923077	0.74074074	1.3333333	0.68965517	2.5	1.6666667
21	0.51219512	0.525	0.51219512	0.48837209	0.80769231	0.80769231	0.80769231	0.77777778	1.4	0.72413793	2.625	1.75
22	0.55	0.55	0.52380952	0.51162791	0.84615385	0.84615385	0.84615385	0.84615385	1.4666667	0.75862069	2.75	1.8333333
23	0.56097561	0.575	0.54761905	0.53488372	0.88461538	0.88461538	0.88461538	0.88461538	1.5333333	0.79310345	2.875	1.9166667
24	0.58536585	0.6	0.57142857	0.55813953	0.92307692	0.92307692	0.92307692	0.88888889	4	1.8461538	3	2
25	0.625	0.625	0.5952381	0.58139535	0.96153846	0.96153846	0.96153846	0.92592593	1.6666667	0.86206897	3.125	2.0833333
26	0.65	0.65	0.61904762	0.60465116	1	1	1	1	1.8571429	0.86666667	3.25	2.1666667
27	0.675	0.675	0.64285714	0.61363636	1.0384615	1.0384615	1	1.0384615	1.9285714	0.93103448	3.375	2.25
28	0.7	0.71794872	0.65116279	0.62222222	1.0769231	1.0769231	1.037037	1.0769231	1.8666667	0.96551724	3.5	2.3333333
29	0.725	0.74358974	0.65909091	0.65909091	1.16	1.1153846	1.1153846	1.0740741	1.9333333	1	3.625	2.4166667
30	0.75	0.75	0.68181818	0.68181818	1.1538462	1.1538462	1.1538462	1.1538462	2	1	3.75	2.5
31	0.79487179	0.79487179	0.70454545	0.68888889	1.2916667	1.24	1.1923077	1.1923077	2.0666667	1.0689655	3.875	2.5833333
32	0.82051282	0.82051282	0.72727273	0.71111111	1.2307692	1.2307692	1.2307692	1.2307692	5.3333333	2.4615385	4	2.6666667
33	0.86842105	0.84615385	0.73333333	0.73333333	1.2692308	1.2692308	1.2692308	1.2692308	2.3571429	1.1785714	4.125	2.5384615
34	0.89473684	0.89473684	0.75555556	0.75555556	1.3076923	1.36	1.3076923	1.3076923	2.4285714	1.2142857	4.25	2.6153846
35	0.92105263	0.92105263	0.79545455	0.77777778	1.3461538	1.3461538	1.3461538	1.3461538	2.5	1.25	4.375	2.6923077
