0	Halftime16v4	Halftime24v4	Halftime32v4	Halftime40v4	Halftime16v3	Halftime24v3	Halftime32v3	Halftime40v3	clhash	clhash128	umash	umash128
1	0.016949153	0.011235955	0.0092592593	0.008	0.033333333	0.032258065	0.029411765	0.029411765	0.071428571	0.033333333	0.25	0.16666667
2	0.034482759	0.02247191	0.018348624	0.016	0.066666667	0.064516129	0.058823529	0.060606061	0.14285714	0.066666667	0.5	0.4
3	0.050847458	0.033707865	0.027522936	0.024193548	0.1	0.096774194	0.088235294	0.088235294	0.21428571	0.1	0.75	0.6
4	0.06779661	0.04494382	0.036697248	0.032	0.13333333	0.12903226	0.11764706	0.11764706	0.28571429	0.13333333	1	0.8
5	0.084745763	0.056179775	0.04587156	0.04	0.16666667	0.16129032	0.14705882	0.14705882	0.35714286	0.16666667	1.25	1
6	0.10344828	0.06741573	0.055045872	0.048	0.2	0.19354839	0.17647059	0.17647059	0.42857143	0.2	1.5	1.2
7	0.11864407	0.077777778	0.064220183	0.056	0.23333333	0.22580645	0.20588235	0.20588235	0.5	0.23333333	1.75	1.4
8	0.13793103	0.08988764	0.073394495	0.064516129	0.26666667	0.25806452	0.23529412	0.24242424	1.3333333	0.61538462	2	1.6
9	0.15254237	0.1011236	0.082568807	0.072	0.3	0.29032258	0.26470588	0.26470588	0.6	0.29032258	1.8	0.9
10	0.16949153	0.11235955	0.091743119	0.080645161	0.33333333	0.32258065	0.29411765	0.29411765	0.66666667	0.32258065	2	1
11	0.18965517	0.12359551	0.10091743	0.088	0.36666667	0.35483871	0.32352941	0.32352941	0.73333333	0.35483871	2.2	1.1
12	0.20338983	0.13483146	0.11009174	0.096774194	0.4	0.38709677	0.35294118	0.35294118	0.8	0.38709677	2.4	1.2
13	0.22033898	0.14606742	0.11926606	0.104	0.43333333	0.41935484	0.37142857	0.38235294	0.86666667	0.41935484	2.6	1.3
14	0.23728814	0.15730337	0.12844037	0.112	0.46666667	0.4516129	0.4	0.41176471	0.93333333	0.4516129	2.8	1.4
15	0.25423729	0.17045455	0.13761468	0.12	0.5	0.48387097	0.42857143	0.44117647	1	0.48387097	3	1.5
16	0.27118644	0.18181818	0.14678899	0.128	0.53333333	0.51612903	0.45714286	0.45714286	2.6666667	1.1428571	3.2	1.6
17	0.28813559	0.19101124	0.1559633	0.136	0.56666667	0.5483871	0.48571429	0.51515152	1.1333333	0.56666667	2.125	1.3076923
18	0.30508475	0.2	0.16513761	0.144	0.6	0.58064516	0.51428571	0.52941176	1.2857143	0.6	2.25	1.3846154
19	0.3220339	0.21590909	0.17431193	0.152	0.63333333	0.59375	0.54285714	0.55882353	1.3571429	0.63333333	2.375	1.4615385
20	0.33898305	0.2247191	0.18348624	0.16129032	0.66666667	0.64516129	0.57142857	0.58823529	1.3333333	0.66666667	2.5	1.5384615
21	0.3559322	0.23595506	0.19266055	0.16935484	0.7	0.63636364	0.6	0.61764706	1.4	0.7	2.625	1.6153846
22	0.37288136	0.24719101	0.20183486	0.17741935	0.73333333	0.6875	0.61111111	0.64705882	1.4666667	0.73333333	2.75	1.6923077
23	0.38983051	0.25842697	0.21100917	0.184	0.76666667	0.6969697	0.63888889	0.65714286	1.5333333	0.76666667	2.875	1.7692308
24	0.40677966	0.26966292	0.22018349	0.19047619	0.8	0.72727273	0.68571429	0.68571429	3.4285714	1.7142857	3	1.8461538
25	0.42372881	0.28089888	0.2293578	0.2016129	0.83333333	0.75757576	0.71428571	0.73529412	1.6666667	0.80645161	3.125	1.9230769
26	0.44067797	0.29545455	0.23853211	0.20967742	0.86666667	0.8125	0.74285714	0.76470588	1.7333333	0.83870968	3.25	2
27	0.45762712	0.3	0.24770642	0.216	0.9	0.81818182	0.77142857	0.77142857	1.8	0.87096774	3.375	2.0769231
28	0.47457627	0.31460674	0.25688073	0.22580645	0.93333333	0.875	0.8	0.8	1.8666667	0.90322581	3.5	2.1538462
29	0.49152542	0.32954545	0.26605505	0.232	0.96666667	0.87878788	0.80555556	0.82857143	1.9333333	0.93548387	3.625	2.2307692
30	0.50847458	0.33707865	0.27522936	0.24193548	1	0.9375	0.83333333	0.85714286	2	0.96774194	3.75	2.3076923
31	0.52542373	0.35227273	0.28440367	0.25	1.0333333	0.93939394	0.88571429	0.88571429	2.0666667	1	3.875	2.3846154
32	0.54237288	0.36363636	0.29357798	0.25806452	1.0666667	1	0.91428571	0.88888889	4.5714286	2	4	2.4615385
33	0.56896552	0.37078652	0.30275229	0.26829268	1.1	1.03125	0.91666667	0.91666667	2.3571429	1.1	3.6666667	2.3571429
34	0.57627119	0.38636364	0.31192661	0.27642276	1.1333333	1.0625	0.94444444	0.97142857	2.4285714	1.1333333	3.7777778	2.4285714
35	0.59322034	0.39772727	0.32110092	0.28225806	1.1666667	1.09375	0.97222222	0.97222222	2.3333333	1.1666667	3.8888889	2.5
36	0.62068966	0.4	0.33027523	0.29032258	1.2	1.125	1	1	2.5714286	1.2	4	2.5714286
37	0.62711864	0.42045455	0.33944954	0.296	1.2333333	1.15625	1.0571429	1.0571429	2.6428571	1.2333333	4.1111111	2.6428571
38	0.6440678	0.43181818	0.34862385	0.30645161	1.2666667	1.1875	1.0857143	1.0857143	2.7142857	1.2666667	4.2222222	2.7142857
39	0.66101695	0.43820225	0.35779817	0.312	1.3	1.21875	1.1142857	1.1142857	2.6	1.3	4.3333333	2.7857143
40	0.68965517	0.45454545	0.36697248	0.32258065	1.3333333	1.25	1.1428571	1.1111111	5.7142857	2.5	4.4444444	2.8571429
41	0.69491525	0.46067416	0.37614679	0.328	1.3666667	1.28125	1.1388889	1.1388889	2.7333333	1.3225806	4.5555556	2.9285714
42	0.71186441	0.47191011	0.3853211	0.34146341	1.4	1.3125	1.2	1.1666667	2.8	1.3548387	4.6666667	3
43	0.72881356	0.47777778	0.39449541	0.34677419	1.4333333	1.34375	1.1944444	1.1944444	2.8666667	1.3870968	4.7777778	3.0714286
